Name,School/Town,Index (from RNG),Grade Level,Gender,Time Taken (Before),Time Before Cleaned,Music Genre,Time Taken (After),Time After Cleaned,Difference in Time,Link
Nonah Connolly,Nidoma,,6,Male,0.845 minute,50.7,Classical,0.7 minute,42,-8.7,https://islands.smp.uq.edu.au/islander.php?id=xlcacfx26h
Tuhin Mangal,Nidoma,,6,Male,1.6 minutes,96,Heavy Metal,1.7 minutes,102,6,https://islands.smp.uq.edu.au/islander.php?id=qtygapfjq8
Devak Mishra,Riroura,,6,Male,1.6 minutes,96,Country,1.5 minutes,90,-6,https://islands.smp.uq.edu.au/islander.php?id=73ctsy776b
Gabriel Tiwari,Riroura,,5,Male,1.3 minutes,78,Country,1.1 minutes,66,-12,https://islands.smp.uq.edu.au/islander.php?id=5jqqnhkncl
Gabriel Bailly,Gordes,,5,Male,2.0 minutes,120,Classical,1.8 minutes,108,-12,https://islands.smp.uq.edu.au/islander.php?id=lrqe9ceqll
Devak Ramanujan,Maeva,,5,Male,0.885 minute,53.1,Country,0.783 minute,46.98,-6.12,https://islands.smp.uq.edu.au/islander.php?id=rkjtgdyeev
Gyan Puri,Maeva,,4,Male,2.3 minutes,138,Heavy Metal,2.6 minutes,156,18,https://islands.smp.uq.edu.au/islander.php?id=sf4txdmevc
Reynard Lingutla,Maeva,,4,Male,87.2 seconds,87.2,Classical,78.5 seconds,78.5,-8.7,https://islands.smp.uq.edu.au/islander.php?id=7hlumanamf
Henri Kumar,Colmar,,6,Male,82.5 seconds,82.5,Classical,77.0 seconds,77,-5.5,https://islands.smp.uq.edu.au/islander.php?id=rk84cbtlrz
Selvan Puri,Colmar,,4,Male,1.6 minutes,96,Country,82.4 seconds,82.4,-13.6,https://islands.smp.uq.edu.au/islander.php?id=kbqazalvqw
Percy Tamboli,Colmar,,4,Male,80.3 seconds,80.3,Heavy Metal,82.5 seconds,82.5,2.2,https://islands.smp.uq.edu.au/islander.php?id=kb226drpds
