Name,School/Town,Index (from RNG),Grade Level,Gender,Time Taken (Before),Time Before Cleaned,Music Genre,Time Taken (After),Time After Cleaned,Difference in Time,Link
Sarah Kimura,Nidoma,,4,Female,67.7 seconds,67.7,Heavy Metal,76.7 sec,76.7,9,https://islands.smp.uq.edu.au/islander.php?id=ggutaumc9w
Sarah Jackson,Nidoma,,5,Female,114 seconds,114,Country,1.7 min,102,-12,https://islands.smp.uq.edu.au/islander.php?id=q2l4ffebf4
Shauna Yamada,Riroura,,6,Female,81.0 sec,81,Heavy Metal,88.2 sec,88.2,7.2,https://islands.smp.uq.edu.au/islander.php?id=js7x729pht
Samantha Wilson,Riroura,,5,Female,1.5 min,90,Classical,85.4 sec,85.4,-4.6,https://islands.smp.uq.edu.au/islander.php?id=d7qbr39qar
Mimi Connolly,Gordes,,4,Female,84 seconds,84,Country,77.8 sec,77.8,-6.2,https://islands.smp.uq.edu.au/islander.php?id=wxmtlfv4zb
Molly Connolly,Maeva,,4,Female,1.6 min,96,Classical,1.6 min,96,0,https://islands.smp.uq.edu.au/islander.php?id=as4wvwqaav
Naina Iyer,Maeva,,5,Female,88.4 sec,88.4,Classical,84.8 sec,84.8,-3.6,https://islands.smp.uq.edu.au/islander.php?id=9phxzgwlcu
Lucinda Sargent,Maeva,,4,Female,46.5 seconds,46.5,Heavy Metal,52.1 sec,52.1,5.6,https://islands.smp.uq.edu.au/islander.php?id=kvq3jnjtdf
Julie Erickson,Colmar,,4,Female,1.5 min,90,Classical,81.3 sec,81.3,-8.7,https://islands.smp.uq.edu.au/islander.php?id=57bkawkhex
Mythri Basu,Colmar,,6,Female,57.7 seconds,57.7,Classical,54.2 sec,54.2,-3.5,https://islands.smp.uq.edu.au/islander.php?id=wa4wrfm2g7
Celine Carlsen,Colmar,,4,Female,1.7 min,102,Country,1.7 min,102,0,https://islands.smp.uq.edu.au/islander.php?id=lrcvjgqcwb
Alice Mathieu,Colmar,,5,Female,59.9 seconds,59.9,Country,53.3 sec,53.3,-6.6,https://islands.smp.uq.edu.au/islander.php?id=wqcxlr36xb
Mallory Morris,Colmar,,4,Female,1.6 min,96,Country,1.5 min,90,-6,https://islands.smp.uq.edu.au/islander.php?id=fx8r6dztf7
Nicole Tamboli,Colmar,,5,Female,54.1 seconds,54.1,Classical,49.2 sec,49.2,-4.9,https://islands.smp.uq.edu.au/islander.php?id=gt9znfmh7k
Alexia Dupont,Colmar,,4,Female,82.5 seconds,82.5,Heavy Metal,82.8 sec,82.8,0.3,https://islands.smp.uq.edu.au/islander.php?id=a55ms9abz2
Rina Mardia,Colmar,,6,Female,66.0 sec,66,Country,65.5 sec,65.5,-0.5,https://islands.smp.uq.edu.au/islander.php?id=nu3gjhl5x6
Dolores Moulin,Colmar,,4,Female,1.7 min,102,Heavy Metal,1.8 min,108,6,https://islands.smp.uq.edu.au/islander.php?id=8lhjnsms7c
Yvonne Julien,Colmar,,6,Female,85.3 seconds,85.3,Classical,81.3 sec,81.3,-4,https://islands.smp.uq.edu.au/islander.php?id=r5lhs5p5ll
Marie Sorensen,Eden,,4,Female,86.6 seconds,86.6,Country,1.5 min,90,3.4,https://islands.smp.uq.edu.au/islander.php?id=nayxnxcvp2
Emily Hall,Eden,,6,Female,1.5 min,90,Heavy Metal,1.8 min,108,18,https://islands.smp.uq.edu.au/islander.php?id=gtawfudaqr
Anushka Bose,Eden,,6,Female,69.2 seconds,69.2,Country,114 seconds,114,44.8,https://islands.smp.uq.edu.au/islander.php?id=5brktvwhxf
Nisha Ganaka,Mahuti,,5,Female,114 seconds,114,Heavy Metal,2.2 min,132,18,https://islands.smp.uq.edu.au/islander.php?id=ljemg9uyzd
Colette Connolly,Mahuti,,5,Female,88.7 seconds,88.7,Classical,79.4 sec,79.4,-9.3,https://islands.smp.uq.edu.au/islander.php?id=bfftw25vqr
Delaine Eklund,Mahuti,,5,Female,82.5 seconds,82.5,Heavy Metal,1.6 min,96,13.5,https://islands.smp.uq.edu.au/islander.php?id=x2yx48brsp
Urja Banerjee,Mahuti,,5,Female,1.6 min,96,Heavy Metal,1.8 min,108,12,https://islands.smp.uq.edu.au/islander.php?id=uyqsu92q7a
Esha Karmarkar,Mahuti,,6,Female,1.5 min,90,Heavy Metal,1.8 min,108,18,https://islands.smp.uq.edu.au/islander.php?id=bz6s3rnr9m
Stephanie Fontaine,Mahuti,,5,Female,47.5 seconds,47.5,Country,44.2 sec,44.2,-3.3,https://islands.smp.uq.edu.au/islander.php?id=gtkqthsbue
Nanami Burke,Mahuti,,5,Female,86.9 sec,86.9,Heavy Metal,1.7 min,102,15.1,https://islands.smp.uq.edu.au/islander.php?id=6ubr6ys98y
Rachel Morris,Mahuti,,4,Female,2.0 min,120,Classical,2.0 min,120,0,https://islands.smp.uq.edu.au/islander.php?id=f68wzymyub
Aimee Burke,Vaiku,,5,Female,77.8 seconds,77.8,Country,73.9 sec,73.9,-3.9,https://islands.smp.uq.edu.au/islander.php?id=wxb4gdqacg
Arya Laha,Vaiku,,5,Female,85.5 sec,85.5,Country,74.7 sec,74.7,-10.8,https://islands.smp.uq.edu.au/islander.php?id=u74herc8bp
Zaihara Anand,Kinsale,,5,Female,48.3 seconds,48.3,Classical,50.8 sec,50.8,2.5,https://islands.smp.uq.edu.au/islander.php?id=xtajente2f
Leanne Mitchell,Valais,,5,Female,67.0 sec,67,Country,58.9 sec,58.9,-8.1,https://islands.smp.uq.edu.au/islander.php?id=emz9dsfla4
Theresa Solberg,Pauma,,6,Female,89.9 seconds,89.9,Classical,72.4 sec,72.4,-17.5,https://islands.smp.uq.edu.au/islander.php?id=54sey9adjb
Alice Jackson,Pauma,,4,Female,56.3 sec,56.3,Heavy Metal,61.6 sec,61.6,5.3,https://islands.smp.uq.edu.au/islander.php?id=qphkyacrnh
Adelie Ibsen,Talu,,5,Female,51.8 seconds,51.8,Classical,41.3 sec,41.3,-10.5,https://islands.smp.uq.edu.au/islander.php?id=ygljndf8y4
